method,lambda,seed,cap,alpha,fairness_type,n_train,test_regret_normalized,test_fairness,test_pred_mse
FDFL-Scal,1.0,22,mlp128,2.0,mad,50,0.1289310338372524,24.412009243716287,126.9750327898396
FDFL-Scal,0.0,33,mlp128,2.0,mad,50,0.1289381608915789,24.482585235232406,136.69535707905885
FDFL-Scal,1.0,33,mlp128,2.0,mad,50,0.12879544236788,20.84794178169881,126.79912904731772
FDFL-Scal,0.0,44,mlp128,2.0,mad,50,0.1262605084731186,25.268114422644363,129.46302563131408
FDFL-Scal,1.0,44,mlp128,2.0,mad,50,0.1300499087550722,30.21605340296432,140.98208176408784
FDFL-Scal,0.0,55,mlp128,2.0,mad,50,0.1270739530232279,33.68479569169079,131.6441415954904
FDFL-Scal,1.0,55,mlp128,2.0,mad,50,0.1289156755016574,32.876767728943285,126.12182843697234
FDFL,0.0,11,mlp128,2.0,mad,50,0.1346140408691038,1086.9677709913103,3412.5346235902007
FDFL,1.0,11,mlp128,2.0,mad,50,0.133634322175724,16.051406550783323,156.04514031469844
FDFL,0.0,22,mlp128,2.0,mad,50,0.1289593531888152,2761.326972140727,5964.104615060946
FDFL,1.0,22,mlp128,2.0,mad,50,0.1282214904313811,35.19893549922697,153.72780417308155
